toi,tid,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep
4118.01,193773468,2459031.107,2.555231,2.487,12550
4119.01,160618074,2459027.425,5.2018975,1.124,3370
4120.01,159438097,2459028.034,4.895338,4.986,4700
4110.01,230075120,2459034.465,0.7676704,1.117,330
4111.01,230006888,2459031.478,12.2791266,4.393,5980
4112.01,229976631,2459026.448,10.7163561,3.055,1150
4113.01,229786610,2458997.11,22.1594284,3.846,810
4114.01,229408913,2459033.056,4.8037711,2.233,2030
4115.01,199610140,2459034.862,2.9855974,1.24,9720
4116.01,198616607,2459032.578,3.6311878,1.974,6500
4103.01,235902467,2459018.458,12.27405,3.556,14510
4104.01,235664497,2459034.989,2.3763645,3.387,7270
4105.01,233576159,2459029.458,5.7152166,2.79,2210
4106.01,233535738,2459018.909,16.3558618,4.673,1120
4107.01,232632239,2459031.715,3.5323548,1.798,2400
4108.01,232603560,2459012.354,14.4344298,5.512,1610
4109.01,230084146,2459032.303,12.3204105,2.389,5920
4096.01,272782321,2459027.955,10.1056845,2.788,1760
4097.01,264295655,2459030.834,2.7741774,2.034,1980
4098.01,264223828,2459033.594,1.1789805,0.882,1110
4099.01,264173803,2459030.735,4.3953621,2.299,850
4100.01,243297296,2459028.045,3.5860165,2.426,2950
4101.01,243280335,2459032.964,4.3203233,1.158,3620
4102.01,237235093,2459034.031,2.6834113,1.146,760
4090.01,289373041,2459034.537,3.1775801,2.085,3700
4091.01,289316336,2459033.694,3.0038696,3.24,760
4092.01,288242606,2459034.697,7.4958179,5.277,7180
4093.01,284454822,2459023.222,10.4713134,3.234,1380
4094.01,280035202,2459028.389,4.911145,1.937,650
4095.01,274974693,2459031.324,4.1538259,1.464,7730
4085.01,336840314,2459034.112,2.8282424,2.673,10540
4086.01,328814605,2459033.971,5.6919412,5.031,4950
4087.01,310002617,2459028.497,3.1774602,2.858,14200
4088.01,302381397,2459031.265,2.7284012,2.127,10570
4089.01,298752252,2459032.322,3.2454778,1.489,7260
4084.01,346673534,2459017.012,15.6326703,2.989,12880
4081.01,421973253,2458995.66,9.258279,3.561,2010
4082.01,400899926,2459005.767,4.6257192,3.662,9930
4083.01,399444057,2459008.356,2.0714803,3.108,1660
4078.01,444724127,2459009.008,3.163881,3.257,4000
4079.01,444558604,2459008.247,1.9872259,2.486,19450
4080.01,428892437,2459007.075,3.7507206,2.983,18200
4072.01,85459171,2459005.303,2.1390271,3.556,19090
4073.01,648958344,2459004.436,2.3079651,2.064,1650
4074.01,628103717,2459005.313,3.2175518,3.154,10620
4075.01,627323667,2459006.785,3.0493757,3.545,5380
4076.01,57193198,2459003.615,4.3965758,2.827,6250
4077.01,57159675,2459004.4,5.568776,2.038,12330
4067.01,162577466,2459004.913,3.6762653,3.917,12030
4068.01,159334269,2459008.762,1.1578392,1.363,9660
4069.01,143009290,2459006.361,2.723424,1.754,13090
4070.01,115270627,2459008.22,3.1503628,1.059,9110
4071.01,115182469,2459001.308,6.5169955,2.416,930
4061.01,224601047,2459003.792,7.2087245,3.506,4690
4062.01,219866209,2459007.795,6.7473539,2.283,14780
4063.01,219499488,2459008.488,1.6322704,1.599,12800
